cricket_game_fair_round_pistol,skirmish,round_pistol_game_slug_whip
cricket_hawk,grasshopper,cricket_hawk
pyramid_fair,square,pyramid_dice
fair,fair,fair
date_band_water_change_track,current,date_change_water_port
track_band,groove,tablet_track
plastic_hospital,surgery,hospital_ambulance
plastic_band,elastic,band_web
plastic,plastic,plastic
battery_space_shot_bottle_table,empty,space_plate
battery_shot,artillery,battery_strike
shot_bottle,magnum,shot_bottle
table_brush,utensil,table_china
tooth_plastic_forest_spine,pulp,tooth_plastic_fighter
shoe_spine,ankle,shoe_fall
pit_screen,cockpit,pit_spine
forest_screen,landscape,forest_cold
giant_screen,hulk,whale
giant,giant,giant
screen,screen,screen
