gas_port_oil,tanker,oil_gas_port
mail_seal,enclose,seal_mail
hawk_arm,wing,hawk_arm
horseshoe,horseshoe,horseshoe
forest_cloak_cross_hood_mass,bury,plot
cloak_cross_hood_mass_drop,heavy,mass_drop_cloak_block
forest_rose,shrub,rose_forest
cross_march,procession,cross_march
hood,hood,hood
nail_flute_mint_unicorn_bar,scotch,glass
nail_flute_leprechaun_horseshoe_bar,cork,bar_leprechaun_flute_paste
unicorn_horseshoe,equine,horseshoe_unicorn
nail_mint,root,trunk
nail,nail,nail
mint,mint,mint
battery,battery,battery
date_cycle_star,lunar,cycle_star_date
queen_maple,canada,maple_robin
queen_jack,elizabeth,queen_jack
doctor_pupil,patient,doctor_change
pupil,pupil,pupil
bug_crash_charge,fault,charge_crash_smuggler
temple_state,institution,state_block
bug_gold,aurelian,gold_temple
bug,bug,bug
glove_knife,handle,knife_glove
antarctica_duck_moon_march_europe,winter,antarctica_angel_yard
duck_europe,turkey,duck_crane
moon_march,month,moon_march
washer,washer,washer
europe,europe,europe
rose,rose,rose
line_cook_crown_degree_pound,topping,cook_ketchup
crown_pound,krone,crown_pound
degree_doctor,professor,degree_doctor
ship_church,kirk,church_engine
ship_line,coastline,line_ship
europe_cross_eye,orient,europe_amazon
